Order ID,Order Date,Ship Date,EmailID,Geography,Category,Product Name,Sales,Quantity,Profit,Shipping Days,Profit Margin,Month,year
CA-2013-138688,13-06-2013,17-06-2013,DarrinVanHuff@gmail.com,"United States,Los Angeles,California",Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.00,6.87,4,47,6,2013
CA-2011-115812,09-06-2011,14-06-2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California",Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.00,14.17,5,29,6,2011
CA-2013-161389,06-12-2013,11-12-2013,IreneMaddox@gmail.com,"United States,Seattle,Washington",Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,132.59,5,32.5,12,2013
CA-2011-167164,13-05-2011,15-05-2011,AlejandroGrove@gmail.com,"United States,West Jordan,Utah",Storage,Fellowes Super Stor/Drawer,55.50,2.00,9.99,2,18,5,2011
CA-2011-143336,27-08-2011,01-09-2011,ZuschussDonatelli@gmail.com,"United States,San Francisco,California",Art,Newell 341,8.56,2.00,2.48,5,29,8,2011
CA-2012-106320,25-09-2012,30-09-2012,EmilyBurns@gmail.com,"United States,Orem,Utah",Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,240.26,5,23,9,2012
CA-2013-121755,16-01-2013,20-01-2013,EricHoffmann@gmail.com,"United States,Los Angeles,California",Binders,Wilson Jones Active Use Binders,11.65,2.00,4.22,4,36.25,1,2013
CA-2013-101343,18-07-2013,23-07-2013,RubenAusman@gmail.com,"United States,Los Angeles,California",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.00,3.89,5,5,7,2013
CA-2012-135545,24-11-2012,30-11-2012,KunstMiller@gmail.com,"United States,Los Angeles,California",Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.00,6.15,6,44,11,2012
CA-2011-106376,05-12-2011,10-12-2011,BrendanSweed@gmail.com,"United States,Gilbert,Arizona",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.00,111.30,5,10,12,2011
CA-2011-139451,12-10-2011,16-10-2011,DuaneNoonan@gmail.com,"United States,San Francisco,California",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,4.17,4,28,10,2011
CA-2013-109806,18-09-2013,23-09-2013,JimSink@gmail.com,"United States,Los Angeles,California",Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,6.63,5,33,9,2013
US-2014-109484,07-11-2014,13-11-2014,RogerBarcio@gmail.com,"United States,Portland,Oregon",Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.00,-3.79,6,-66.66666667,11,2014
CA-2014-157833,18-06-2014,21-06-2014,KatherineDucich@gmail.com,"United States,San Francisco,California",Binders,Trimflex Flexible Post Binders,51.31,3.00,17.96,3,35,6,2014
US-2012-156867,13-11-2012,17-11-2012,LenaCacioppo@gmail.com,"United States,Aurora,Colorado",Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.90,6.00,-26.88,4,-11.25,11,2012
CA-2012-110457,02-03-2012,06-03-2012,DaveKipp@gmail.com,"United States,Seattle,Washington",Tables,Hon Racetrack Conference Tables,787.53,3.00,165.38,4,21,3,2012
US-2014-107272,06-11-2014,13-11-2014,TroyStaebel@gmail.com,"United States,Phoenix,Arizona",Binders,"Avery Durable Slant Ring Binders, No Labels",2.39,2.00,-1.83,7,-76.66666667,11,2014
US-2013-125969,07-11-2013,11-11-2013,LindsayShagiari@gmail.com,"United States,Los Angeles,California",Chairs,"Global Task Chair, Black",81.42,2.00,-9.16,4,-11.25,11,2013
CA-2013-145583,14-10-2013,20-10-2013,LenaCreighton@gmail.com,"United States,Roseville,California",Paper,Xerox 195,20.04,3.00,9.62,6,48,10,2013
CA-2014-106180,19-09-2014,24-09-2014,SallyHughsby@gmail.com,"United States,San Francisco,California",Art,Newell 343,8.82,3.00,2.38,5,27,9,2014
CA-2012-110744,07-09-2012,12-09-2012,HelenAndreada@gmail.com,"United States,Pasadena,California",Storage,Safco Industrial Wire Shelving,671.93,7.00,20.16,5,3,9,2012
